Organization Name,Address1,City,State,Zip Code,Borough,Neighborhood,Phone1,Fax,Website,Job Placement Services,Financial Aid Services,Contact FirstName,Contact LastName,course name,CourseDescription,Keywords,Cost Total,Cost Includes,Cost Does Not Include,Duration,Duration Unit,NumHours,Prerequisites,Max Class Size,Years Course Offered,Instructor Credentials,Delivery Method,Schedule,Is HRA,Is SBS
New Technologies Information Institute,401 BROADWAY STE 903,NEW YORK,New York,10013,Manhattan,Greenwich Village - Soho,2129255722,,http://www.ntii-newyork.com,,Some types of Financial Aid are provided.,Lynn,Zhang,Advanced Web Database,Students will learn the fundamentals of HTML syntax and layouts  creating effective Web pages  and configuring a Web server and interfacing Web site to databases. Using MySQL is known as the leading open source relational database management system. It is extensively deployed around the world. Students will gain the skills that are needed to administer and maintain MySQL databases. DBMS (Database Management System) are known as Oracle  MS - SQL  Access  MYSQL  etc. MYSQL in particular is flexible  fully featured and very powerful. MYSQL is also seen as a natural partner of PHP. Course topics will be covering Developing a Web Site (the Soft ware for students to access is going to be Adobe CS4  which needs 48 Hours). PHP with My SQL (Soft ware for students to utilize will be SQL Server 2008  and thats 48 Hours). The total hour is going to be 96. Upon graduation  students will receive school Certificate. (School credentials by the NY State Education Department) . .This is a 10 week program  please contact provider for current schedule. .,network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE,2200.00,Classroom Hours 96.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,96,Hour(s),96,<p>GED or High School Diploma</p> .,10,,teacher license,Classroom Training,Check with school to receive most updated schedule,Yes,No
Fullstack Academy  LLC,147 Prince St,Brooklyn,New York,11201,Brooklyn,Downtown - Heights - Slope,3479892999,,https://www.fullstackacademy.com/,,Some types of Financial Aid are provided.,Elle,Yeung-Mendoza,Data Analytics (Full-Time),The Data Analytics bootcamp at Fullstack Academy helps students establish foundational knowledge  skills  and abilities in the field of data analytics. . .Students build in-demand industry skills and prepare to take certification exams in Tableau and Amazon Web Services. The program consists of Fullstack's signature Live Online classes and workshops so you will feel fully supported along your journey. .,,13495.00,Classroom Hours 225.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,225,Hour(s),225,<p>To be eligible for the program  applicants must be at least 18 years old and a high school grad/GED holder by the start date of their intended cohort.</p> .,,,,Web-Based,Check with school to receive most updated schedule,No,No
Lehman College CUNY,250 BEDFORD PARK BLVD W,BRONX,New York,10468,Bronx,Fordham - Bronx Park,7189604974,,http://www.lehman.edu/academics/continuing-education/,,Some types of Financial Aid are provided.,Maryann,Drago-Dowling,Certified Clinical Medical Assistant Program,We are pleased to announce our Certified Clinical Medical Assistant program that combines classroom instruction with practical experience through an internship in a community-based medical practice or a hospital. According to the Bureau of Labor Statistics  the occupation of Medical Assistants is expected to grow 34 percent in the ten years. This is largely due to growth in medical technology  a growing aging population  and the advancement of disease management for chronic illnesses. Medical Assistants will become more and more an integral part of the health care system. This is an exciting time to become part of a valued member of the health care team. Clincial Medical Assistants provide both administrative and clinical services  in various health care setting such as private offices  ambulatory centers and hospitals. . .Lehman's program is approved by the National Healthcareer Association (NHA) and after completion of the required courses students will be eligible to take the NHA credentialing examination. This program also provides a test preparation class for the exam. Our program prepares students through hands-on training  education in medical procedures  patient care  clinical assisting  administrative practices  and fundamentals of health sciences  giving students the qualifications they need to fill a wide-range of health care services. Courses include Fundamentals of Medical Assisting  Medical Terminology / Anatomy and Physiology  Medical Office Business Practice (including a billing/coding and insurance component)  Clinical Practice  workshops to prepare you to enter the workforce  Clinical Medical Assistant Externship and Certification exam review. . .The course is hours in total: 306 hours (including 208 classroom and 98 practical hours) plus an externship program of 100 hours. Pending approval  this is a great opportunity for veterans  workforce one applications  and other voucher candidates. Prerequisites: Attend orientation/open house  complete program application with proof of HS/GED and essay  and documentation of basic microcomputer skills . .Textbooks $225 plus credential NHA Exam $155 are not included in price. . . . . . . . . .,Health  home  attendant  Medical  NCLEX  RN  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  care  aide  orderly  nursing,4000.00,Classroom Hours 208.0   Lab Hours 0.0   Internship Hours 100.0   Practical Hours 98.0,,406,Hour(s),406,<p>Application  HS/GED  basic microcomputer and word processing skills</p> .,25,,CMA  CPR,Classroom Training,Check with school to receive most updated schedule,No,Yes. ITG vouchers issued for this course will cover the listed price  up to  $5000.
Holt Computer Training,280 S Harrison St Ste 300,East Orange,New Jersey,10116,,,2127321774,6468614936,www.HoltTrains.com,,Some types of Financial Aid are provided.,Francine,Holt,Hybrid Microsoft Publisher w/Chat GPT & Zoom,Hybrid Microsoft Publisher w/Zoom Microsoft Teams - CIP CODE 52.0907  50.0409  10.0303 .Microsoft Publisher (40 hours) - In this course students will gain hands-on training creating newsletters  greeting cards and certificates using Microsoft Publisher. Students will create  format  edit and share publications. Perform basic and advanced tasks in Publisher; create  share  and print publications. . .HYBRID VIRTUAL MEETING PLATFORMS .Virtual Meeting Platforms (5 Hours) - Participants in this course will learn about web conferencing using Zoom/Microsoft Teams. The topics include: scheduling Zoom and Microsoft Teams meetings (web conferencing)  recording settings  admitting attendees from the waiting room  managing in-meeting functions  including breakout rooms  chats  reactions  polls  and screen sharing. Additionally students will learn to create content with ChatGPT. . .CREDENTIAL: - School certificate award at the conclusion of class . . .FACILITIES: Hybrid  Virtual Instructor-Led Training and Traditional Hands-On-Site Training Room 1 . . .COVID: During COVID our training program is Hybrid and students are required to wear mask at all times. .SUPPLIES &ndash; USB Flash Drive  Folder  Binder . . .TEXTBOOK - Using Publisher 2019: The Step-by-step Guide to Using Microsoft Publisher 2019 (4) (Using Microsoft Office) .,,1049.00,Classroom Hours 45.0   Lab Hours 10.0   Internship Hours 30.0   Practical Hours 10.0,,95,Hour(s),95,,10,,Microsoft Certified,Classroom Training,Check with school to receive most updated schedule,Yes,No
College of Staten Island CUNY,2800 VICTORY BLVD BLDG 2A,STATEN ISLAND,New York,10314,Staten Island,Willowbrook,7189822182,,http://www.csi.cuny.edu/continue,,Some types of Financial Aid are provided.,Continuing,Education,Federal Court Interpreter,The Federal Court Interpreter training program prepares you to sit for the oral component of any State or Federal Court Interpreting Examinations offered in the United States. This program is language specific &ndash; Spanish/English .You will acquire the three interpreting skills &ndash; simultaneous  consecutive and sight translation. You will learn the proper transfer of Criminal and Civil terminology into Spanish. Intensive online interpreting laboratory practices will give you the opportunity to practice what is learned in each lecture. .Prepares You For... .Careers: . .Certified State and Federal Court Interpreter .,,2425.00,Classroom Hours 200.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,200,Hour(s),200,Students must speak English and Spanish fluently...Students should be familiar with using a personal computer  mouse  and keyboard. They should be comfortable in a Windows or Mac environment  and have the ability to launch and close activities.,,,,Web-Based,Check with school to receive most updated schedule,Yes,No
College of Staten Island CUNY,2800 VICTORY BLVD BLDG 2A,STATEN ISLAND,New York,10314,Staten Island,Willowbrook,7189822182,,http://www.csi.cuny.edu/continue,,Some types of Financial Aid are provided.,Continuing,Education,CompTIA Certification Training: A+  Network+  Security+,This program will prepare you for CompTIA A+  Security+ and Network+ certifications. These credentials will assure employers that you are competent in PC troubleshooting and repair  in addition to validating your skills in security and network concepts. You will demonstrate competence with topics such as security attacks  mitigation  and disaster recovery  in addition to mastering skills that involve network desighn  routing  and switching.,network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE,4025.00,Classroom Hours 480.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,480,Hour(s),480,To enroll in this program  you should have basic knowledge of computer hardware and operating systems for example  how to power up and log on to a machine  how to use a mouse and keyboard  and basic Microsoft Windows navigation skills.,,,,Web-Based,Check with school to receive most updated schedule,No,Yes. ITG vouchers issued for this course will cover the listed price  up to  $3800.
INSTITUTE FOR CAREER ADVANCEMENT,4105 16TH AVE,BROOKLYN,New York,11204,Brooklyn,Borough Park,7185060912,,,,Some types of Financial Aid are provided.,Yechiel,Binet,Interior Decorators,BASIC INTERIOR DESIGN CURRICULUM The curriculum emphasizes the fundamental skills and knowledge of interior design  architecture and the visual and decorative arts. Introductory courses focus on sketching  design concepts  design history and professional practice  and provide a foundation-level understanding of the technical and aesthetic principles of drafting  and materials. .Registration Fee: $100 .Upon completion of training student will receive certificate of completion.,,8600.00,Classroom Hours 180.0   Lab Hours 80.0   Internship Hours 0.0   Practical Hours 0.0,,260,Hour(s),260,N/A,,,,Classroom Training,Check with school to receive most updated schedule,No,No
College of Staten Island CUNY,2800 VICTORY BLVD BLDG 2A,STATEN ISLAND,New York,10314,Staten Island,Willowbrook,7189822182,,http://www.csi.cuny.edu/continue,,Some types of Financial Aid are provided.,Continuing,Education,Management Training,The Management Training Online Program consists of 12 separate modules geared to provide you with the vital information you need. You'll gain an understanding of financial and accounting terms  successful negotiation strategies for most environments  the marketing process  employment law  compliance and regulatory requirements  and licensing  permits  and taxes. You'll also learn about the seven management disciplines that are essential to success.,,2330.00,Classroom Hours 360.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,360,Hour(s),360,Students should have basic keyboarding and computer skills  be comfortable navigating the Internet and using e-mail  and have an understanding of a word-processing computer program (Microsoft Word is recommended).This program is intended for anyone intere,,,,Web-Based,Check with school to receive most updated schedule,Yes,No
NORTHSIDE DRIVING SCHOOL LTD,6816 Fresh Pond Rd,Ridgewood,New York,11385,Queens,Ridgewood - Forest Hills,7184180342,7184180341,NorthSideDrivingSchool.com,,Some types of Financial Aid are provided.,zbigniew,szczepan,ELDT - CDL. Tractor-Trailer Commercial Training,ELDT - Basic Entry Level Driver Training. Minium 24 months working experience as the Truck/Bus driver.Training using Automatic Tractor or Standard Shift Training Advanved 10 Speed Transmission Training CDL Class A Tractor-Trailer (vehicles over 26 000 lbs.with air brakes ). Training is done one on one with the instructor. All training and training materials are available in both English and Spanish. License with Combination Vehicle and Air Brake Endorsements. At the end of the training every student receives diploma from the training and class A License issued by New York State Department of Motor Vehicles. IN addition every participient will receive maximum of 20 hours behind the wheel training and 1 hour in classroom training  up to 2road test chances   the school will secure the road test appointments including $40.00 DMV fee. Upon completion of traning student will receive a certificate of completion. Student will receive Free access to online ELDT. .,,2500.00,Classroom Hours 1.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 20.0,,21,Hour(s),21,<p>You need to have a valid class B(PS) license for at least 24 months with a professional driving experience  CDL Class A permit  DOT medical card.</p> .,1,,NYS DMV Certified,Apprenticeship,Check with school to receive most updated schedule,Yes,No
New Technologies Information Institute,401 BROADWAY STE 903,NEW YORK,New York,10013,Manhattan,Greenwich Village - Soho,2129255722,,http://www.ntii-newyork.com,,Some types of Financial Aid are provided.,Lynn,Zhang,Office Clerk,At the completion of this course the student will learn any business office Clerks make up payrolls and bills. They enter data on a computer  scan documents  sort mail  answer e-mail  and file papers and reports. Enter invoices into a database help Manager Type letters. Clerks work in government offices  insurance companies  and hospitals. Course includes Ms Office Word  Excel  PowerPoint  Access  Computerized Accounting  and Financial Management. Upon completion of training student will receive certificate ofcompletion This is a 16 week program  please contact provider for current schedule. .,Receptionist  Office Clerk  Executive Secretary  Administrative Assistant  microsoft  office  account  bookkeep  audit  quickbooks  bookkeeper  bookkeeping  excel  word,2200.00,Classroom Hours 96.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,96,Hour(s),96,<p>N/A</p> .,10,,,Classroom Training,Check with school to receive most updated schedule,Yes,No
New Technologies Information Institute,401 BROADWAY STE 903,NEW YORK,New York,10013,Manhattan,Greenwich Village - Soho,2129255722,,http://www.ntii-newyork.com,,Some types of Financial Aid are provided.,Lynn,Zhang,Advanced Web Design,Advanced Web Design focuses on advanced techniques in web design with particular emphasis on design elements involving layout  navigation and interactivity using HTML  XHTML  JavaScript  Dynamic HTML  and Cascading Style Sheets (CSS). Dreamweaver  Flash ActionScript  include client and server side Establish  configure  and maintain web site  Develop and publish Web pages  Configure a Web Server Capture  retrieve  and display information via a database Using PHP with My SQL  Produce dynamic Web pages using server-side and client-side scripts  Upon graduation  the students will receive the certificate of Advanced Web Design  from the school after they have passed the final. . .This is a 8 week program  please contact provider for current schedule. .,Design  designers  Pro  graphic designer  adobe  autocad  CS5  indesign  website  web  art  animation  flash  artist  media  fashion,1300.00,Classroom Hours 96.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,96,Hour(s),96,<p>High School Diploma or Equivalent (GED).</p> .,10,,,Classroom Training,Check with school to receive most updated schedule,Yes,No
College of Staten Island CUNY,2800 VICTORY BLVD BLDG 2A,STATEN ISLAND,New York,10314,Staten Island,Willowbrook,7189822182,,http://www.csi.cuny.edu/continue,,Some types of Financial Aid are provided.,Continuing,Education,Certified Medical Administrative Assistant (CMAA),Administrative medical assistants are versatile and valuable members of the healthcare team who can handle a broad range of duties  including patient registration  telephone  scheduling  medical records  accounts receivable  data entry  and medical claims.,,1525.00,Classroom Hours 160.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,160,Hour(s),160,In order to sit for national certification exams  candidates must have a high school diploma or equivalent; therefore  it is recommended you have this before enrolling for this program.,,,,Web-Based,Check with school to receive most updated schedule,Yes,No
Executive Driving School,114-02 Atlantic ave,Richmond HIll,New York,11419,Queens,Southwest Queens,7184416500,7184416507,https://www.executivedrivingschool.com,,Some types of Financial Aid are provided.,Bhagwani,Ram,CDL B P/S TRAINING,Get your CDL Class B License today! . .By taking the General Knowledge  Air Brakes  Passenger  and School Bus endorsements  you must obtain your CDL Class B P/S Learner's Permit at the New York State Department of Motor Vehicles. . .Getting your Commercial Driver's License is one of the ultimate licensing goals. Achieving this goal comes with great benefits  including excellent pay  flexible schedules  great opportunities  and what we find to be most important and exciting for most new drivers  independence. . .A bus driving license has its benefits right from the start. You get to go home daily due to short trips because your routes are mostly within the city. . .With your CDL Class B permit with the Passenger and School Bus endorsements  you are on the road to attaining a full class B license which would allow you to drive anything from a car to a school bus within the vicinity of Brooklyn and Queens  NY  including: . . . Straight Trucks . Large buses  such as MTA buses  Tourist buses  Coach buses  and School buses . Segmented buses . Large buses  such as MTA buses  Tourist buses  Coach buses  and School buses . Dump trucks with small trailers . . . .Many benefits come with obtaining your CDL class B P/S driver&#39;s license  including jobs with the MTA  Sanitation USPS  School Bus companies  and other great employers! . .At Executive Driving School in New York City  we've set a curriculum to help you best execute the hour-and-a-half to two-hour road test. Our greatest pleasure comes in our students&#39; success. Our state-of-the-art instructions and behind-the-wheel hands-on training will enhance the learning experience and benefit your driving skills. Executive Driving School provides quality education and training that prepares our drivers to be both skilled and knowledgeable professional drivers. Our teaching techniques allow our students to explore the safest ways to learn to drive. . .Executive Driving School provides quality education and training that prepares our new drivers to be both skilled and knowledgeable professional drivers. Our advanced teaching techniques and driving lessons allow our students to explore the safest ways to learn to drive in Brooklyn  Queens  NY  and surrounding areas and get the CDL bus driving license in Brooklyn.  . .We always look forward to having new students and strive to have you accomplish one of the biggest goals in your life. . .Please note that you would pay $40 for the skill test fee to the Department of Motor Vehicles. You could pay this fee in DMV  Use the link provided on our link page  or even pay us  and we'll pay it for you. . . . . .,CDL  CLASS A  Class B  Class C   Bus  Passenger Vehicle   license  driver  drive  truck  commercial  brakes  air  driving lessons  air brakes  truck  warehouse operations  forklift operator  transportation,2500.00,Classroom Hours 0.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 20.0,,20,Hour(s),20,<p>Each applicant must have a valid CDL B/PS permit prior to enrolling in training.</p> .,1,,DMV Instructor Certificate,Classroom Training,Check with school to receive most updated schedule,Yes,Yes. ITG vouchers issued for this course will cover the listed price  up to  $2000.
International Development Institute (Manhattan),161 William St 14th Fl,New York,New York,10038,Manhattan,Lower Manhattan,2125941917,212,,,Some types of Financial Aid are provided.,Leomar,Cruz,Air Pollution Control Certification,This course presents a comprehensive understanding of the basic principles of air pollution and the relevant laws and regulations  including major sources and types of contaminants; health effects and methods of control.Get your License to operate fuel burning equipment using residual fuel oil. Every operator of residual oil equipment must hold a License to operate equipment using residual fuel oil. To help prevent air pollution you must understand the operation of an oil burner. Knowing the parts of your equipment  where they are located and how they work can be helpful in preventing smoke. . . .According to the City&#39;s law no person shall cause or permit the use of fuel burning equipment  unless they have received a certificate  within six months of their employment  which states that they have successfully completed a course in the techniques of Air Pollution Control. .,,1200.00,Classroom Hours 16.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,16,Hour(s),16,<p>High School Diploma  GED  TASC  and/or Entrance Test.</p> .,25,,Licensed by the NYS Education Department,Classroom Training,Check with school to receive most updated schedule,Yes,No
New Technologies Information Institute,401 BROADWAY STE 903,NEW YORK,New York,10013,Manhattan,Greenwich Village - Soho,2129255722,,http://www.ntii-newyork.com,,Some types of Financial Aid are provided.,Lynn,Zhang,Office Assistant with ESL (TAA ONLY),The course of Office Assistant with ESL has the total hour 1460; including ESL 660 hours and vocational training is 800 hours. The ESL 660 hours mainly focuses on word and communication office field. The vocational part covers basic business procedures and essential software skills including word processing  spreadsheets  databases  desktop publishing  Students develop oral and written communications to enable them to work as successful team members in a business environment. Course components detail posted as following:listening and speaking skills  240 Hours cost $1800.00 reading skills 240 Hour cost $1800.00 Writing skills  180 Hours cost $1400.00 KeyboardingI  60 Hours  Cost $780.00. KeyboardingII  60hours  Cost $780.00 Introduction to Computer60 hours  Cost $780.00 Microsoft WordI  60Hours  Cost $780.00 Microsoft WordII 60Hours  Cost $780.00Microsoft ExcelI  60Hours  Cost $780.00  Microsoft Excel II 60Hours  Cost $780.00  Microsoft PowerPoint  60Hours  Cost $780.00 Microsoft Access 60 Hours Cost $780.00Career Development 60 Hours  Cost $780.00  Business Communication 60 Hours Cost $780.00  Office Procedures  60 Hours  Cost $780.00  Operations Management. 40 Hours Cost $780.00 Introduction to Business  40 Hours Cost $780.00Upon completion of training student will receive certificate of completion. . .This is a one year program  contact provider for current schedule . . . . . . . . . . . . . . . . . . .,,15000.00,Classroom Hours 1460.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,1460,Hour(s),1460,<p>N/A</p> .,20,,,Classroom Training,Check with school to receive most updated schedule,No,No
COMPU21 INSTITUTE,3907 PRINCE ST STE 2C,FLUSHING,New York,11354,Queens,Flushing - Clearview,7187621900,,http://www.compu21.com,,Some types of Financial Aid are provided.,Ann,Chen,Medical Assistant,Medical Assistant program prepares students to be multi-skilled allied health professionals specifically trained in administrative  laboratory and clinical procedures. Medical assistants perform clinical and administrative duties including recording patient history  measuring vital signs such as temperature and blood pressure  scheduling patient appointments  update EHRs  help with insurance forms and ICD-10 coding for patient procedures  and drawing blood for lab tests. You'd also help keep the office running smoothly  by ordering supplies and handling paperwork. Medical assistant jobs also require working with office management skills. By pursuing a career in medical assisting  you will be able to help patients  doctors  and nurses  as well as jumpstart a career path in a field that is growing much faster than average. Through this course  student will gain the benefit of hands-on training and professional experience to ensure our students succeed in the workplace. The student will receive a certificate of completion upon graduation  and will be eligible to sit for the Registered Medical Assistant (RMA) exam. The total tuition includes National Exam Fee $300 for Medical Assistant.,,11100.00,Classroom Hours 600.0   Lab Hours 0.0   Internship Hours 300.0   Practical Hours 0.0,,900,Hour(s),900,High School Diploma / GED,,,,Classroom Training,Check with school to receive most updated schedule,No,No
Truckar Driving School,648 PROSPECT AVE,BRONX,New York,10455,Bronx,Hunts Point - Mott Haven,7187420220,7187420999,http://truckardrivingschool.com,,Some types of Financial Aid are provided.,Jose,Henriquez,School Bus Class BPS Program,Students work on the driving skills needed to obtain their Class BPS license. After successful completion students will be able to operate a school bus. Students can also operate Class &#39;B&#39; and &lsquo;BP' vehicles. Program consists of classroom and on the road practice to ensure the best possible learning experience. 5 classroom hours of study time which include pre-trip inspection  road test and videos.5 Lab hours forELDT (Theory  Range and Public Road). 20 hours behind the wheel with a license instructor. INCLUDED are TWO road test and DMV skill fees. DOT Medical Certification information is available upon request. Upon completion of training student will receive a certificate of completion. .,CDL  CLASS A  Class B  Class C   Bus  Passenger Vehicle   license  driver  drive  truck  commercial  brakes  air  driving lessons  air brakes  truck  warehouse operations  forklift operator  transportation,2500.00,Classroom Hours 5.0   Lab Hours 5.0   Internship Hours 0.0   Practical Hours 20.0,,30,Hour(s),30,<p>Prerequisite: GED or High School Diploma; New York State Drivers License</p> .,,,NYS DMV Certified,Classroom Training,Check with school to receive most updated schedule,Yes,Yes. ITG vouchers issued for this course will cover the listed price  up to  $2000.
ACCESS INSTITUTE,8002 KEW GARDENS RD LBBY 2,KEW GARDENS,New York,11415,Queens,Southwest Queens,7182630750,,http://accessqueens.com,,Some types of Financial Aid are provided.,Reema,Gunasingh,Medical Billing Pro Pack,This program provides the student with comprehensive training in the field of medical billing and coding. It begins with a thorough grounding in keyboarding  word processing (MS Word) and spreadsheets (MS Excel). It continues with extensive training in medical terminology  and covers all aspects of medical office administration and billing  including office simulations  scheduling appointments  medical insurance and health plans  ICD and CPT coding  computerized medical billing (MediSoft)  electronic claims  and reports. Upon completion of training student will receive a certificate of completion. . .Language (English) course cost includes (Tuition  Books  Supplies  Materials) .,Health  EMR  ehR  Pharmacy  Medical Biller  NCLEX  RN  Billing  Coding  Insurance  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  Care,2500.00,Classroom Hours 25.0   Lab Hours 25.0   Internship Hours 20.0   Practical Hours 24.0,,94,Hour(s),94,<p>High School Diploma  GED  Ability to Benefit.</p> .,,,,Classroom Training,Check with school to receive most updated schedule,Yes,No
The Career Center,185 MADISON AVE RM 1104,NEW YORK,New York,10016,Manhattan,Gramercy Park - Murray Hill,2126845151,,http://www.careercenters.com,,Some types of Financial Aid are provided.,Mourad,Kattan,SQL Level 1,SQL is a powerful and popular database program that is widely used for data analysis and manipulation. Learn to use SQL as a tool to implement logic  define instructions  and compose SQL queries to retrieve information from the database in our beginner SQL training class.The maximum class size is 10 so you don''t have to worry about getting lost in the crowd. Upon completion of training student will receive a certificate of completion.,,325.00,Classroom Hours 8.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,8,Hour(s),8,In this introductory SQL training  all required resources will be provided to the students.,,,,Classroom Training,Check with school to receive most updated schedule,Yes,No
College of Staten Island CUNY,2800 VICTORY BLVD BLDG 2A,STATEN ISLAND,New York,10314,Staten Island,Willowbrook,7189822182,,http://www.csi.cuny.edu/continue,,Some types of Financial Aid are provided.,Continuing,Education,Medical Billing Coding Auditing and Compliance Certificate TAA Only,This program offers valuable training in medical office management and legal  ethical  and regulatory concepts that are central to this field  including HIPAA compliance and third-party guidelines for filing insurance claims. You will gain hands-on  practical experience in medical billing and coding and work with the main coding manual ICD-10-CM  ICD-10-PCS  CPT  and HCPCS Level II. You will learn how to code diagnoses  services  and procedures for all systems of the body. Medical Terminology is the language of medicine. You will study word parts and the structures and functions of the human body. You will also study disorders and medical procedures common to each body system  including musculoskeletal  cardiovascular  respiratory  digestive  nervous  endocrine  integumentary  genitourinary  lymphatic  and immune. Tuition $3195.00  Books/materials fees  $928.00  Exam Voucher  $415.00  Membership/Certification through American Academy of Professional Coders  $449.00  Equipment  $939.00. . . .Course completers will receive a certificate of completion . .,Health  EMR  ehR  Pharmacy  Medical Biller  NCLEX  RN  Billing  Coding  Insurance  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  Care,5926.00,Classroom Hours 500.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,500,Hour(s),500,Excellent Oral and written communication skills. High School diploma or GED and basic computer skills. 9th grade reading level. Testing of candidates will be conducted by CSI prior to admission.,21,,,Classroom Training,Check with school to receive most updated schedule,No,No
Alliance Computing Solutions (ACS) (Queens),3660 MAIN ST FL 4,FLUSHING,New York,11354,Queens,Flushing - Clearview,7186619771,,http://www.ACS.edu,,Some types of Financial Aid are provided.,Amanda,Lin,ESL- NorthStar English (TAA Only),NorthStar helps ESL students build language competence and encourages critical thinking and personal expression. Each level of the book contains: Ten High-interest thematic units developed around a variety of reading texts that serve as models of different writing genres. Thematically linked exercises - such as prediction  comprehension  and inference - to develop reading skills  A carefully designed progression of developmental writing skills to move students from controlled to freer writing within each unit. (Levels 1 &ndash; 5) .Student Book Level 1 (Reading and Writing  Listening and Speaking);Student Book Level 2 (Reading and Writing  Listening and Speaking);Student Book Level 3 (Reading and Writing  Listening and Speaking);Student Book Level 4 (Reading and Writing. Listening and Speaking);Student Book Level 5 (Reading and Writing  Listening and Speaking);Building Skills (Reading and Writing Listening and Speaking),,7500.00,Classroom Hours 540.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,540,Hour(s),540,An entrance test will be given to measure the students  English level.,,,,Classroom Training,Check with school to receive most updated schedule,No,No
BARNES DRIVING SCHOOL CAR  BUS  TRUCK.TRAILER CORPORATION,254 W 35TH ST STE 17A,NEW YORK,New York,10001,Manhattan,Chelsea - Clinton,9174024884,,http://atruckdrivingschool.net,,Some types of Financial Aid are provided.,Lilia,Narvaez,CDL CLASS B with Passengers Endorsement,Learn to drive to obtain a permit and license for School Bus with Endorsements such as: Passengers Endorsement  Tanker Vehicle  Hazardous Material and become a Commerical Bus Driver with a Class &quot;B-P&#39; License.This bus driver school education program is designed for individuals who have no experience with Class B commercial vehicles. The course length and curriculum are designed to promote professional safe driving techniques and for the successful completion of the CDL Skills Test. Aspects of safe operation of the bus will be addressed both in a classroom setting and throughout the behind-the-wheel training incorporating deliberate situations. Individuals obtaining aClass Bwith aPassengersendorsement are qualified to operate aClass B straight truck or charter bus. This Program includes all DMV fees and course registration fees along with two road tests per student. .,CDL  CLASS A  Class B  Class C   Bus  Passenger Vehicle   license  driver  drive  truck  commercial  brakes  air  driving lessons  air brakes  truck  warehouse operations  forklift operator  transportation,3995.00,Classroom Hours 80.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 30.0,,110,Hour(s),110,<p>requires to be 18 yrs of age or older Regular Drivers License Required</p> .,40,,Motor Vehicle Certified Instructor with 10 + experience that speaks English and Spanish fluently,Classroom Training,Check with school to receive most updated schedule,No,Yes. ITG vouchers issued for this course will cover the listed price  up to  $2000.
International Development Institute (Brooklyn),613 BRIGHTON BEACH AVE FL 2,BROOKLYN,New York,11235,Brooklyn,Coney Island - Sheepshead Bay,7186150303,2126150325,,,Some types of Financial Aid are provided.,Leomar,Cruz,Medical Assistant,The Medical Assitant Perform administrative and certain clinical duties under the direction of physician. Administrative duties may include scheduling appointments  maintaining medical records  billing and coding for insurance purposes. Clinical duties may include taking and recording vital signs and medical histories  preparing patients for examination  drawing blood and administering medications as directed by physician. This course covers the two (2) National Healthcare Association (NHA) certification exams - Certified Phlebotomy Technician and Certified EKG Technician. Exam fees for both NHA exams ($210) plus the State testing fee ($115) are included in tuition. If a retest is required  the cost of the retest is also included in your tuition. Upon completion of training student will receive certificate of completion. .,Health  home  attendant  Medical  NCLEX  RN  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  care  aide  orderly  nursing,18000.00,Classroom Hours 770.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,770,Hour(s),770,<p>High School Diploma GED</p> .,20,,Licensed by The New York State Education Department,Classroom Training,Check with school to receive most updated schedule,No,Yes. ITG vouchers issued for this course will cover the listed price  up to  $5000.
